nama_schema,nama_tabel,nama_index,tidak_unik,urutan,nama_kolom,jenis_index
aplikasi,allow_ip_authentication,NOMOR,0,1,NOMOR,BTREE
aplikasi,allow_ip_authentication,PRIMARY,0,1,ID,BTREE
aplikasi,automaticexecute,PRIMARY,0,1,ID,BTREE
aplikasi,automaticexecute_02,PRIMARY,0,1,ID,BTREE
aplikasi,automaticexecute_03,PRIMARY,0,1,ID,BTREE
aplikasi,group_pengguna_akses_module,PRIMARY,0,1,ID,BTREE
aplikasi,info_teks,JENIS,1,1,JENIS,BTREE
aplikasi,info_teks,PRIMARY,0,1,ID,BTREE
aplikasi,info_teks,PUBLISH,1,1,PUBLISH,BTREE
aplikasi,info_teks,STATUS,1,1,STATUS,BTREE
aplikasi,instansi,PPK,0,1,PPK,BTREE
aplikasi,instansi,PRIMARY,0,1,ID,BTREE
aplikasi,integrasi,PRIMARY,0,1,ID,BTREE
aplikasi,integrasi,REF,1,1,REF,BTREE
aplikasi,modules,IDX,1,1,IDX,BTREE
aplikasi,modules,PRIMARY,0,1,ID,BTREE
aplikasi,oauth2,CLIENT_ID,1,1,CLIENT_ID,BTREE
aplikasi,oauth2,PRIMARY,0,1,ID,BTREE
aplikasi,oauth2,STATUS,1,1,STATUS,BTREE
aplikasi,oauth2_access,EXPIRED,1,1,REVOKED,BTREE
aplikasi,oauth2_access,OAUTH2_ID,1,1,OAUTH2_ID,BTREE
aplikasi,oauth2_access,PRIMARY,0,1,ID,BTREE
aplikasi,oauth2_access,TOKEN_HASH,1,1,TOKEN_HASH,BTREE
aplikasi,objek,PRIMARY,0,1,ID,BTREE
aplikasi,objek,TABEL_ENTITY_SERVICE,0,1,TABEL,BTREE
aplikasi,objek,TABEL_ENTITY_SERVICE,0,2,ENTITY,BTREE
aplikasi,objek,TABEL_ENTITY_SERVICE,0,3,SERVICE,BTREE
aplikasi,pengaturan_awal_referensi,PRIMARY,0,1,JENIS,BTREE
aplikasi,pengguna,JENIS,1,1,JENIS,BTREE
aplikasi,pengguna,LOCK_APP,1,1,LOCK_APP,BTREE
aplikasi,pengguna,LOGIN,1,1,LOGIN,BTREE
aplikasi,pengguna,MASA_AKTIF,1,1,MASA_AKTIF,BTREE
aplikasi,pengguna,NIK,1,1,NIK,BTREE
aplikasi,pengguna,NIP,1,1,NIP,BTREE
aplikasi,pengguna,PRIMARY,0,1,ID,BTREE
aplikasi,pengguna,STATUS,1,1,STATUS,BTREE
aplikasi,pengguna_akses,GROUP_PENGGUNA_AKSES_MODULE,1,1,GROUP_PENGGUNA_AKSES_MODULE,BTREE
aplikasi,pengguna_akses,PENGGUNA,1,1,PENGGUNA,BTREE
aplikasi,pengguna_akses,PRIMARY,0,1,ID,BTREE
aplikasi,pengguna_akses_ruangan,PENGGUNA,1,1,PENGGUNA,BTREE
aplikasi,pengguna_akses_ruangan,PENGGUNA_STATUS,1,1,PENGGUNA,BTREE
aplikasi,pengguna_akses_ruangan,PENGGUNA_STATUS,1,2,STATUS,BTREE
aplikasi,pengguna_akses_ruangan,PRIMARY,0,1,ID,BTREE
aplikasi,pengguna_akses_ruangan,RUANGAN,1,1,RUANGAN,BTREE
aplikasi,pengguna_akses_ruangan,STATUS,1,1,STATUS,BTREE
aplikasi,pengguna_akses_ruangan,TANGGAL,1,1,TANGGAL,BTREE
aplikasi,pengguna_log,LOKASI_AKSES,1,1,LOKASI_AKSES,BTREE
aplikasi,pengguna_log,PENGGUNA,1,1,PENGGUNA,BTREE
aplikasi,pengguna_log,PRIMARY,0,1,ID,BTREE
aplikasi,pengguna_log,TANGGAL_AKSES,1,1,TANGGAL_AKSES,BTREE
aplikasi,pengguna_log,TUJUAN_AKSES,1,1,TUJUAN_AKSES,BTREE
aplikasi,petunjuk,IDX,1,1,IDX,BTREE
aplikasi,petunjuk,LEVEL,1,1,LEVEL,BTREE
aplikasi,petunjuk,PRIMARY,0,1,ID,BTREE
aplikasi,petunjuk,STATUS,1,1,STATUS,BTREE
aplikasi,printer_list,PRIMARY,0,1,ID,BTREE
aplikasi,properti_config,JENIS,1,1,JENIS,BTREE
aplikasi,properti_config,NAMA,1,1,NAMA,BTREE
aplikasi,properti_config,PRIMARY,0,1,ID,BTREE
aplikasi,signature,PRIMARY,0,1,X_ID,BTREE
aplikasi,sinkronisasi,ID_TERAKHIR,1,1,ID_TERAKHIR,BTREE
aplikasi,sinkronisasi,PRIMARY,0,1,ID,BTREE
aplikasi,sinkronisasi,TANGGAL,1,1,TANGGAL_TERAKHIR,BTREE
berkas_klaim,berkas,PENJAMIN_JENIS_TAHUN_BULAN,0,1,PENJAMIN_ID,BTREE
berkas_klaim,berkas,PENJAMIN_JENIS_TAHUN_BULAN,0,2,JENIS,BTREE
berkas_klaim,berkas,PENJAMIN_JENIS_TAHUN_BULAN,0,3,TAHUN,BTREE
berkas_klaim,berkas,PENJAMIN_JENIS_TAHUN_BULAN,0,4,BULAN,BTREE
berkas_klaim,berkas,PRIMARY,0,1,ID,BTREE
berkas_klaim,berkas,TANGGAL_DIBUAT,1,1,TANGGAL,BTREE
berkas_klaim,berkas_detil,BERKASI_ID,1,1,BERKAS_ID,BTREE
berkas_klaim,berkas_detil,PRIMARY,0,1,ID,BTREE
berkas_klaim,berkas_detil,SEP_NO,1,1,NOMOR,BTREE
berkas_klaim,dokumen_pendukung,BERKAS,1,1,BERKAS,BTREE
berkas_klaim,dokumen_pendukung,NOSEP,1,1,NOSEP,BTREE
berkas_klaim,dokumen_pendukung,PRIMARY,0,1,ID,BTREE
berkas_klaim,kelengkapan,PRIMARY,0,1,NOPEN,BTREE
berkas_klaim,kelengkapan,STATUS,1,1,STATUS,BTREE
berkas_klaim,kelengkapan_komentar,NOPEN,1,1,NOPEN,BTREE
berkas_klaim,kelengkapan_komentar,PRIMARY,0,1,ID,BTREE
berkas_klaim,kelengkapan_komentar,REPLY_FROM,1,1,REPLY_FROM,BTREE
berkas_klaim,lab_klinik,NORM,1,1,NORM,BTREE
berkas_klaim,lab_klinik,NORM_NOSEP,0,1,NORM,BTREE
berkas_klaim,lab_klinik,NORM_NOSEP,0,2,NOSEP,BTREE
berkas_klaim,lab_klinik,NOSEP,1,1,NOSEP,BTREE
berkas_klaim,lab_klinik,PRIMARY,0,1,ID,BTREE
berkas_klaim,lab_klinik,STATUS,1,1,STATUS,BTREE
berkas_klaim,lab_klinik_detil,HASIL_LAB,1,1,HASIL_LAB,BTREE
berkas_klaim,lab_klinik_detil,LAB_KLINIK,1,1,LAB_KLINIK,BTREE
berkas_klaim,lab_klinik_detil,PRIMARY,0,1,ID,BTREE
berkas_klaim,lab_klinik_detil,STATUS,1,1,STATUS,BTREE
berkas_klaim,lab_klinik_detil,TINDAKAN_MEDIS,1,1,TINDAKAN_MEDIS,BTREE
berkas_klaim,obat_farmasi,NOSEP,1,1,NOSEP,BTREE
berkas_klaim,obat_farmasi,PENDAFTARAN,1,1,PENDAFTARAN,BTREE
berkas_klaim,obat_farmasi,PENDAFTARAN_NOSEP,0,1,PENDAFTARAN,BTREE
berkas_klaim,obat_farmasi,PENDAFTARAN_NOSEP,0,2,NOSEP,BTREE
berkas_klaim,obat_farmasi,PRIMARY,0,1,ID,BTREE
berkas_klaim,obat_farmasi,STATUS,1,1,STATUS,BTREE
berkas_klaim,obat_farmasi_detil,KUNJUNGAN,1,1,KUNJUNGAN,BTREE
berkas_klaim,obat_farmasi_detil,OBAT_FARMASI,1,1,OBAT_FARMASI,BTREE
berkas_klaim,obat_farmasi_detil,PRIMARY,0,1,ID,BTREE
berkas_klaim,obat_farmasi_detil,STATUS,1,1,STATUS,BTREE
berkas_klaim,obat_farmasi_detil,UNIQUE_KUNJUNGAN,0,1,KUNJUNGAN,BTREE
berkas_klaim,patologi_anatomi,NORM,1,1,NORM,BTREE
berkas_klaim,patologi_anatomi,NORM_NOSEP,0,1,NORM,BTREE
berkas_klaim,patologi_anatomi,NORM_NOSEP,0,2,NOSEP,BTREE
berkas_klaim,patologi_anatomi,NOSEP,1,1,NOSEP,BTREE
berkas_klaim,patologi_anatomi,PRIMARY,0,1,ID,BTREE
berkas_klaim,patologi_anatomi,STATUS,1,1,STATUS,BTREE
berkas_klaim,patologi_anatomi_detil,HASIL_PA,1,1,HASIL_PA,BTREE
berkas_klaim,patologi_anatomi_detil,PATOLOGI_ANATOMI,1,1,PATOLOGI_ANATOMI,BTREE
berkas_klaim,patologi_anatomi_detil,PRIMARY,0,1,ID,BTREE
berkas_klaim,patologi_anatomi_detil,STATUS,1,1,STATUS,BTREE
berkas_klaim,radiologi,NORM,1,1,NORM,BTREE
berkas_klaim,radiologi,NORM_NOSEP,0,1,NORM,BTREE
berkas_klaim,radiologi,NORM_NOSEP,0,2,NOSEP,BTREE
berkas_klaim,radiologi,NOSEP,1,1,NOSEP,BTREE
berkas_klaim,radiologi,PRIMARY,0,1,ID,BTREE
berkas_klaim,radiologi,STATUS,1,1,STATUS,BTREE
berkas_klaim,radiologi_detil,HASIL_RAD,1,1,HASIL_RAD,BTREE
berkas_klaim,radiologi_detil,PRIMARY,0,1,ID,BTREE
berkas_klaim,radiologi_detil,RADIOLOGI,1,1,RADIOLOGI,BTREE
berkas_klaim,radiologi_detil,STATUS,1,1,STATUS,BTREE
berkas_klaim,temp_daftar_dokumen,NOPEN,1,1,NOPEN,BTREE
bpjs,dpjp,PRIMARY,0,1,kode,BTREE
bpjs,jenis_referensi,PRIMARY,0,1,id,BTREE
bpjs,kamar,PRIMARY,0,1,kodekelas,BTREE
bpjs,klaim,jenisPelayanan,1,1,jenisPelayanan,BTREE
bpjs,klaim,peserta_noKartu,1,1,peserta_noKartu,BTREE
bpjs,klaim,PRIMARY,0,1,noSEP,BTREE
bpjs,klaim,status_id,1,1,status_id,BTREE
bpjs,klaim,tglPulang,1,1,tglPulang,BTREE
bpjs,klaim,tglSep,1,1,tglSep,BTREE
bpjs,kunjungan,noSuratSKDP,1,1,noSuratSKDP,BTREE
bpjs,kunjungan,noTrans,1,1,noTrans,BTREE
bpjs,kunjungan,PRIMARY,0,1,noKartu,BTREE
bpjs,kunjungan,PRIMARY,0,2,noSEP,BTREE
bpjs,kunjungan,tglSEP,1,1,tglSEP,BTREE
bpjs,lpk,PRIMARY,0,1,noSep,BTREE
bpjs,map_kelas,kelas_kelas_rs,0,1,kelas,BTREE
bpjs,map_kelas,kelas_kelas_rs,0,2,kelas_rs,BTREE
bpjs,map_kelas,PRIMARY,0,1,id,BTREE
bpjs,map_kelas,status,1,1,status,BTREE
bpjs,monitoring_rencana_kontrol,noKartu,1,1,noKartu,BTREE
bpjs,monitoring_rencana_kontrol,noSepAsalKontrol,1,1,noSepAsalKontrol,BTREE
bpjs,monitoring_rencana_kontrol,PRIMARY,0,1,noSuratKontrol,BTREE
bpjs,monitoring_rencana_kontrol,tglRencanaKontrol,1,1,tglRencanaKontrol,BTREE
bpjs,monitoring_rencana_kontrol,tglSEP,1,1,tglSEP,BTREE
bpjs,monitoring_rencana_kontrol,tglTerbitKontrol,1,1,tglTerbitKontrol,BTREE
bpjs,pengajuan,noKartu,1,1,noKartu,BTREE
bpjs,pengajuan,PRIMARY,0,1,noKartu,BTREE
bpjs,pengajuan,PRIMARY,0,2,tglSep,BTREE
