nama_schema,nama_tabel,urutan,nama_kolom,tipe,boleh_null,jenis_kunci,atribut_tambahan
aplikasi,allow_ip_authentication,1,ID,smallint,NO,PRI,auto_increment
aplikasi,allow_ip_authentication,2,NOMOR,char(15),NO,UNI,
aplikasi,allow_ip_authentication,3,DESKRIPSI,varchar(150),NO,,
aplikasi,allow_ip_authentication,4,TANGGAL,datetime,YES,,
aplikasi,allow_ip_authentication,5,OLEH,smallint,YES,,
aplikasi,allow_ip_authentication,6,STATUS,tinyint,YES,,
aplikasi,automaticexecute,1,ID,bigint,NO,PRI,auto_increment
aplikasi,automaticexecute,2,PERINTAH,text,NO,,
aplikasi,automaticexecute,3,STATUS,tinyint,NO,,
aplikasi,automaticexecute,4,IS_PROSEDUR,tinyint,NO,,
aplikasi,automaticexecute_02,1,ID,bigint,NO,PRI,auto_increment
aplikasi,automaticexecute_02,2,PERINTAH,text,NO,,
aplikasi,automaticexecute_02,3,STATUS,tinyint,NO,,
aplikasi,automaticexecute_02,4,IS_PROSEDUR,tinyint,NO,,
aplikasi,automaticexecute_03,1,ID,bigint,NO,PRI,auto_increment
aplikasi,automaticexecute_03,2,PERINTAH,text,NO,,
aplikasi,automaticexecute_03,3,STATUS,tinyint,NO,,
aplikasi,automaticexecute_03,4,IS_PROSEDUR,tinyint,NO,,
aplikasi,group_pengguna_akses_module,1,ID,int,NO,PRI,auto_increment
aplikasi,group_pengguna_akses_module,2,GROUP_PENGGUNA,smallint,NO,,
aplikasi,group_pengguna_akses_module,3,MODUL,char(20),NO,,
aplikasi,group_pengguna_akses_module,4,STATUS,tinyint,NO,,
aplikasi,info_teks,1,ID,tinyint,NO,PRI,auto_increment
aplikasi,info_teks,2,JENIS,tinyint,NO,MUL,
aplikasi,info_teks,3,TEKS,text,NO,,
aplikasi,info_teks,4,WARNA,char(10),NO,,
aplikasi,info_teks,5,PUBLISH,tinyint,NO,MUL,
aplikasi,info_teks,6,TANGGAL,datetime,NO,,DEFAULT_GENERATED
aplikasi,info_teks,7,OLEH,smallint,NO,,
aplikasi,info_teks,8,STATUS,tinyint,NO,MUL,
aplikasi,instansi,1,ID,mediumint,NO,PRI,auto_increment
aplikasi,instansi,2,PPK,int,NO,UNI,
aplikasi,instansi,3,EMAIL,varchar(50),NO,,
aplikasi,instansi,4,WEBSITE,varchar(50),NO,,
aplikasi,instansi,5,DEPARTEMEN,varchar(100),YES,,
aplikasi,instansi,6,INDUK_INSTANSI,varchar(100),YES,,
aplikasi,instansi,7,LOGO_GABUNG_NAMA,tinyint,NO,,
aplikasi,integrasi,1,ID,tinyint,NO,PRI,auto_increment
aplikasi,integrasi,2,DESKRIPSI,varchar(50),NO,,
aplikasi,integrasi,3,REF,smallint,YES,MUL,
aplikasi,integrasi,4,NAMA_KLAS,varchar(250),NO,,
aplikasi,integrasi,5,STATUS,tinyint,NO,,
aplikasi,modules,1,ID,char(20),NO,PRI,
aplikasi,modules,2,NAMA,varchar(50),NO,,
aplikasi,modules,3,LEVEL,tinyint,NO,,
aplikasi,modules,4,DESKRIPSI,varchar(150),NO,,
aplikasi,modules,5,STATUS,tinyint,NO,,
aplikasi,modules,6,CLASS,varchar(150),YES,,
aplikasi,modules,7,CONFIG,json,YES,,
aplikasi,modules,8,ICON_CLS,varchar(75),YES,,
aplikasi,modules,9,HAVE_CHILD,tinyint,NO,,
aplikasi,modules,10,MENU_HOME,tinyint,NO,,
aplikasi,modules,11,MENU_MASTER,tinyint,NO,,
aplikasi,modules,12,PACKAGE_NAME,varchar(50),YES,,
aplikasi,modules,13,INTERNAL_PACKAGE,tinyint,NO,,
aplikasi,modules,14,CRUD,tinyint,NO,,
aplikasi,modules,15,C,tinyint,NO,,
aplikasi,modules,16,R,tinyint,NO,,
aplikasi,modules,17,U,tinyint,NO,,
aplikasi,modules,18,D,tinyint,NO,,
aplikasi,modules,19,IDX,tinyint,NO,MUL,
aplikasi,oauth2,1,ID,char(36),NO,PRI,
aplikasi,oauth2,2,CLIENT_ID,char(36),NO,MUL,
aplikasi,oauth2,3,CLIENT_SECRET,char(64),NO,,
aplikasi,oauth2,4,GRANT_TYPE,enum('client_credentials'),NO,,
aplikasi,oauth2,5,DESCRIPTION,varchar(50),YES,,
aplikasi,oauth2,6,EXPIRED_TOKEN_IN,smallint,NO,,
aplikasi,oauth2,7,CREATED_DATE,datetime,NO,,
aplikasi,oauth2,8,CREATED_BY,smallint,NO,,
aplikasi,oauth2,9,SCOPE,varchar(71),NO,,
aplikasi,oauth2,10,STATUS,tinyint,NO,MUL,
aplikasi,oauth2_access,1,ID,bigint,NO,PRI,auto_increment
aplikasi,oauth2_access,2,OAUTH2_ID,char(36),NO,MUL,
aplikasi,oauth2_access,3,ACCESS_DATE,datetime,NO,,
aplikasi,oauth2_access,4,TOKEN_HASH,char(64),NO,MUL,
aplikasi,oauth2_access,5,EXPIRED_TOKEN_IN,smallint,NO,,
aplikasi,oauth2_access,6,REVOKED,tinyint,NO,MUL,
aplikasi,oauth2_access,7,AKSES_DARI,char(15),YES,,
aplikasi,objek,1,ID,char(5),NO,PRI,
aplikasi,objek,2,TABEL,varchar(100),NO,MUL,
aplikasi,objek,3,ENTITY,varchar(500),NO,,
aplikasi,objek,4,SERVICE,varchar(500),NO,,
aplikasi,objek,5,DESKRIPSI,varchar(150),YES,,
aplikasi,objek,6,STATUS,tinyint,NO,,
aplikasi,pengaturan_awal_referensi,1,JENIS,tinyint,NO,PRI,
aplikasi,pengaturan_awal_referensi,2,ID,tinyint,NO,,
aplikasi,pengguna,1,ID,smallint,NO,PRI,auto_increment
aplikasi,pengguna,2,LOGIN,varchar(50),NO,MUL,
aplikasi,pengguna,3,PASSWORD,text,NO,,
aplikasi,pengguna,4,NAMA,varchar(75),NO,,
aplikasi,pengguna,5,NIP,varchar(30),YES,MUL,
aplikasi,pengguna,6,NIK,char(16),YES,MUL,
aplikasi,pengguna,7,JENIS,smallint,YES,MUL,
aplikasi,pengguna,8,MASA_AKTIF,date,YES,MUL,
aplikasi,pengguna,9,LOCK_APP,tinyint,YES,MUL,
aplikasi,pengguna,10,TERAKHIR_UBAH_PASSWOD,datetime,YES,,
aplikasi,pengguna,11,STATUS,tinyint,NO,MUL,
aplikasi,pengguna_akses,1,ID,int,NO,PRI,auto_increment
aplikasi,pengguna_akses,2,PENGGUNA,smallint,NO,MUL,
aplikasi,pengguna_akses,3,GROUP_PENGGUNA_AKSES_MODULE,smallint,NO,MUL,
aplikasi,pengguna_akses,4,STATUS,tinyint,NO,,
aplikasi,pengguna_akses_ruangan,1,ID,mediumint,NO,PRI,auto_increment
aplikasi,pengguna_akses_ruangan,2,TANGGAL,datetime,NO,MUL,
aplikasi,pengguna_akses_ruangan,3,PENGGUNA,smallint,NO,MUL,
aplikasi,pengguna_akses_ruangan,4,RUANGAN,char(10),NO,MUL,
aplikasi,pengguna_akses_ruangan,5,DIBERIKAN_OLEH,smallint,NO,,
aplikasi,pengguna_akses_ruangan,6,STATUS,tinyint,NO,MUL,
aplikasi,pengguna_log,1,ID,"bigint unsigned",NO,PRI,auto_increment
aplikasi,pengguna_log,2,PENGGUNA,smallint,NO,MUL,
aplikasi,pengguna_log,3,TANGGAL_AKSES,datetime,NO,MUL,
aplikasi,pengguna_log,4,LOKASI_AKSES,char(15),NO,MUL,
aplikasi,pengguna_log,5,TUJUAN_AKSES,char(15),NO,MUL,
aplikasi,pengguna_log,6,AGENT,varchar(250),NO,,
aplikasi,petunjuk,1,ID,char(10),NO,PRI,
aplikasi,petunjuk,2,LEVEL,tinyint,NO,MUL,
aplikasi,petunjuk,3,JUDUL,varchar(150),NO,,
aplikasi,petunjuk,4,DESKRIPSI,varchar(500),NO,,
aplikasi,petunjuk,5,URL,varchar(500),NO,,
aplikasi,petunjuk,6,CONFIG,json,YES,,
aplikasi,petunjuk,7,IDX,smallint,YES,MUL,
aplikasi,petunjuk,8,STATUS,tinyint,NO,MUL,
aplikasi,printer_list,1,ID,tinyint,NO,PRI,auto_increment
aplikasi,printer_list,2,NAMA,varchar(25),NO,,
aplikasi,printer_list,3,UKURANKERTAS,varchar(50),YES,,
aplikasi,properti_config,1,ID,mediumint,NO,PRI,
aplikasi,properti_config,2,NAMA,varchar(100),NO,MUL,
aplikasi,properti_config,3,VALUE,varchar(1000),NO,,
aplikasi,properti_config,4,DESKRIPSI,varchar(1000),NO,,
aplikasi,properti_config,5,JENIS,tinyint,NO,MUL,
aplikasi,signature,1,X_ID,smallint,NO,PRI,auto_increment
aplikasi,signature,2,X_PASS,char(10),NO,,
aplikasi,signature,3,X_REF,char(15),YES,,
aplikasi,signature,4,TOKEN,char(45),YES,,
aplikasi,signature,5,STATUS,tinyint,NO,,
aplikasi,sinkronisasi,1,ID,tinyint,NO,PRI,auto_increment
aplikasi,sinkronisasi,2,DESKRIPSI,varchar(50),NO,,
aplikasi,sinkronisasi,3,TANGGAL_TERAKHIR,datetime,NO,MUL,
aplikasi,sinkronisasi,4,ID_TERAKHIR,bigint,NO,MUL,
aplikasi,sinkronisasi,5,STATUS,tinyint,NO,,
berkas_klaim,berkas,1,ID,int,NO,PRI,auto_increment
berkas_klaim,berkas,2,PENJAMIN_ID,smallint,NO,MUL,
berkas_klaim,berkas,3,JENIS,tinyint,NO,,
berkas_klaim,berkas,4,TAHUN,year,NO,,
berkas_klaim,berkas,5,BULAN,tinyint,NO,,
berkas_klaim,berkas,6,TANGGAL,datetime,NO,MUL,DEFAULT_GENERATED
berkas_klaim,berkas,7,KEY,char(8),NO,,
berkas_klaim,berkas_detil,1,ID,bigint,NO,PRI,auto_increment
berkas_klaim,berkas_detil,2,BERKAS_ID,int,NO,MUL,
berkas_klaim,berkas_detil,3,NOMOR,char(50),NO,MUL,
berkas_klaim,berkas_detil,4,NAMA_FILE,char(150),NO,,
berkas_klaim,berkas_detil,5,TANGGAL,datetime,NO,,DEFAULT_GENERATED
berkas_klaim,berkas_detil,6,OLEH,smallint,NO,,
berkas_klaim,dokumen_pendukung,1,ID,int,NO,PRI,auto_increment
berkas_klaim,dokumen_pendukung,2,NOSEP,varchar(25),NO,MUL,
berkas_klaim,dokumen_pendukung,3,BERKAS,int,NO,MUL,
berkas_klaim,dokumen_pendukung,4,DESKRIPSI,text,YES,,
berkas_klaim,dokumen_pendukung,5,DOKUMEN_PENDUKUNG,char(36),YES,,
berkas_klaim,dokumen_pendukung,6,TANGGAL,datetime,YES,,
berkas_klaim,dokumen_pendukung,7,STATUS,tinyint,YES,,
berkas_klaim,kelengkapan,1,NOPEN,char(10),NO,PRI,
berkas_klaim,kelengkapan,2,DOKUMEN_VERIF,json,YES,,
berkas_klaim,kelengkapan,3,STATUS,tinyint,NO,MUL,
berkas_klaim,kelengkapan_komentar,1,ID,bigint,NO,PRI,auto_increment
berkas_klaim,kelengkapan_komentar,2,NOPEN,char(10),NO,MUL,
berkas_klaim,kelengkapan_komentar,3,TEKS,text,NO,,
berkas_klaim,kelengkapan_komentar,4,TANGGAL,datetime,NO,,
berkas_klaim,kelengkapan_komentar,5,OLEH,smallint,NO,,
berkas_klaim,kelengkapan_komentar,6,REPLY_FROM,bigint,YES,MUL,
berkas_klaim,lab_klinik,1,ID,int,NO,PRI,auto_increment
berkas_klaim,lab_klinik,2,NORM,int,NO,MUL,
berkas_klaim,lab_klinik,3,NOSEP,varchar(25),NO,MUL,
berkas_klaim,lab_klinik,4,TANGGAL,timestamp,YES,,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
berkas_klaim,lab_klinik,5,OLEH,smallint,NO,,
berkas_klaim,lab_klinik,6,STATUS,tinyint,NO,MUL,
berkas_klaim,lab_klinik_detil,1,ID,int,NO,PRI,auto_increment
berkas_klaim,lab_klinik_detil,2,LAB_KLINIK,int,NO,MUL,
berkas_klaim,lab_klinik_detil,3,HASIL_LAB,char(12),NO,MUL,
berkas_klaim,lab_klinik_detil,4,TINDAKAN_MEDIS,char(11),NO,MUL,
berkas_klaim,lab_klinik_detil,5,STATUS,tinyint,NO,MUL,
berkas_klaim,obat_farmasi,1,ID,int,NO,PRI,auto_increment
berkas_klaim,obat_farmasi,2,PENDAFTARAN,char(10),NO,MUL,
berkas_klaim,obat_farmasi,3,NOSEP,varchar(25),NO,MUL,
berkas_klaim,obat_farmasi,4,TANGGAL,timestamp,YES,,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
berkas_klaim,obat_farmasi,5,OLEH,smallint,NO,,
