nama_schema,nama_routine,jenis_routine,tipe_hasil
aplikasi,aksesRuanganBerdasarkanJenis,FUNCTION,char
aplikasi,doAutomaticExecute,PROCEDURE,
aplikasi,doAutomaticExecute02,PROCEDURE,
aplikasi,doAutomaticExecute03,PROCEDURE,
aplikasi,getValuePropertyJSON,FUNCTION,longtext
aplikasi,grantAksesRekamMedis,PROCEDURE,
aplikasi,grantGroupPenggunaAksesModulKePenggunaGroup,PROCEDURE,
aplikasi,isPenggunaAksesRuangan,FUNCTION,tinyint
aplikasi,isSelectedGroupPenggunaAksesModule,FUNCTION,tinyint
aplikasi,isSelectedPenggunaAkses,FUNCTION,tinyint
aplikasi,isSelectedPenggunaAksesRuangan,FUNCTION,tinyint
aplikasi,isUsingGroupPengguna,FUNCTION,int
aplikasi,killProcessSleep,PROCEDURE,
berkas_klaim,daftarDokumen,PROCEDURE,
berkas_klaim,doScriptDoc,PROCEDURE,
berkas_klaim,doScriptDoc02,PROCEDURE,
berkas_klaim,doScriptDocFarmasi,PROCEDURE,
berkas_klaim,doScriptDocLabMikro,PROCEDURE,
berkas_klaim,doScriptDocLabPA,PROCEDURE,
berkas_klaim,doScriptDocLabPASebelumnya,PROCEDURE,
berkas_klaim,doScriptDocLabPK,PROCEDURE,
berkas_klaim,doScriptDocLembarProgramPendampinganDanPengawasan,PROCEDURE,
berkas_klaim,doScriptDocOpr,PROCEDURE,
berkas_klaim,doScriptDocPengkajian,PROCEDURE,
berkas_klaim,doScriptDocPenunjangLainnya,PROCEDURE,
berkas_klaim,doScriptDocRad,PROCEDURE,
berkas_klaim,doScriptDocUpload,PROCEDURE,
bpjs,CetakSEP,PROCEDURE,
bpjs,executeTempatTidur,PROCEDURE,
bpjs,getDPJP,FUNCTION,varchar
bpjs,RencanaKontrol,PROCEDURE,
bpjs,RujukanKeluar,PROCEDURE,
cetakan,storeKarcis,PROCEDURE,
generator,generateIdBridgeLog,FUNCTION,varchar
generator,generateIdFarmasi,FUNCTION,varchar
generator,generateIdHasilEvaluasiSST,FUNCTION,varchar
generator,generateIdHasilLab,FUNCTION,varchar
generator,generateIdKarcis,FUNCTION,varchar
generator,generateIdKartu,FUNCTION,varchar
generator,generateIdKeluargaPasien,FUNCTION,smallint
generator,generateIdO2,FUNCTION,varchar
generator,generateIdParameterTindakanLab,FUNCTION,int
generator,generateIdPenggunaAksesLog,FUNCTION,varchar
generator,generateIdReturFarmasi,FUNCTION,varchar
generator,generateIdTindakanMedis,FUNCTION,varchar
generator,generateIdWaktuPelayananKpo,FUNCTION,varchar
generator,generateKodeKejadian,FUNCTION,varchar
generator,generateNoAntrian,FUNCTION,smallint
generator,generateNoAntrianRuangan,FUNCTION,smallint
generator,generateNoFarmasiKpo,FUNCTION,varchar
generator,generateNoIterasiObat,FUNCTION,varchar
generator,generateNoKejadian,FUNCTION,char
generator,generateNoKonsul,FUNCTION,varchar
generator,generateNoKontrol,FUNCTION,varchar
generator,generateNoKuitansi,FUNCTION,char
generator,generateNoKunjungan,FUNCTION,varchar
generator,generateNoMaterialRequest,FUNCTION,varchar
generator,generateNomorApproveFormulirAntimikroba,FUNCTION,varchar
generator,generateNoMutasi,FUNCTION,varchar
generator,generateNoOrderLab,FUNCTION,varchar
generator,generateNoOrderPermintaanDarah,FUNCTION,varchar
generator,generateNoOrderRad,FUNCTION,varchar
generator,generateNoOrderResep,FUNCTION,varchar
generator,generateNoPembayaran,FUNCTION,char
generator,generateNoPenawaranHarga,FUNCTION,varchar
generator,generateNoPendaftaran,FUNCTION,varchar
generator,generateNoPenerimaan,FUNCTION,varchar
generator,generateNoPengiriman,FUNCTION,varchar
generator,generateNoPermintaan,FUNCTION,varchar
generator,generateNoProtokol,FUNCTION,varchar
generator,generateNoProtokolDetail,FUNCTION,varchar
generator,generateNoPurchaseOrder,FUNCTION,varchar
generator,generateNoResepTerlayaniKpo,FUNCTION,varchar
generator,generateNoReservasi,FUNCTION,char
generator,generateNoRujukan,FUNCTION,varchar
generator,generateNoSuratKelahiran,FUNCTION,varchar
generator,generateNoSuratOpname,FUNCTION,varchar
generator,generateNoSuratPenawaranHarga,FUNCTION,varchar
generator,generateNoSuratSakit,FUNCTION,varchar
generator,generateNoSuratSehat,FUNCTION,varchar
generator,generateNoTagihan,FUNCTION,varchar
generator,generatePassSignature,FUNCTION,char
generator,generatorNoSPRI,FUNCTION,varchar
inacbg,CetakLapIndividual,PROCEDURE,
inacbg,CetakLapIndividual5,PROCEDURE,
inacbg,getNomorRegisterTBTerakhir,FUNCTION,char
informasi,execute10DiagnosaRD,PROCEDURE,
informasi,execute10DiagnosaRI,PROCEDURE,
informasi,execute10DiagnosaRJ,PROCEDURE,
informasi,execute10KlaimInacbgRI,PROCEDURE,
informasi,execute10KlaimInacbgRJ,PROCEDURE,
informasi,executeBedMonitorKemkes,PROCEDURE,
informasi,executeIndikatorRS,PROCEDURE,
informasi,executeKlaimIKS,PROCEDURE,
informasi,executeKlaimInacbg,PROCEDURE,
informasi,executeKunjungan,PROCEDURE,
informasi,executePasienRawatInap,PROCEDURE,
informasi,executePendapatan,PROCEDURE,
informasi,executePenerimaan,PROCEDURE,
informasi,executePengunjung,PROCEDURE,
informasi,executePenunjang,PROCEDURE,
informasi,executeStatistik10BesarPenyakit,PROCEDURE,
informasi,executeStatistik10BesarPenyakitRujukan,PROCEDURE,
informasi,executeStatistikGolDarah,PROCEDURE,
informasi,executeStatistikIndikator,PROCEDURE,
informasi,executeStatistikKematian,PROCEDURE,
informasi,executeStatistikRujukan,PROCEDURE,
informasi,executeStatistiKunjungan,PROCEDURE,
informasi,executeTempatTidurDipesanTapiTdkDigunakan,PROCEDURE,
informasi,executeTempatTidurTerisiTapiKosong,PROCEDURE,
