nama_schema,nama_tabel,jenis_tabel,mesin
aplikasi,allow_ip_authentication,"BASE TABLE",InnoDB
aplikasi,automaticexecute,"BASE TABLE",InnoDB
aplikasi,automaticexecute_02,"BASE TABLE",InnoDB
aplikasi,automaticexecute_03,"BASE TABLE",InnoDB
aplikasi,group_pengguna_akses_module,"BASE TABLE",InnoDB
aplikasi,info_teks,"BASE TABLE",InnoDB
aplikasi,instansi,"BASE TABLE",InnoDB
aplikasi,integrasi,"BASE TABLE",InnoDB
aplikasi,modules,"BASE TABLE",InnoDB
aplikasi,oauth2,"BASE TABLE",InnoDB
aplikasi,oauth2_access,"BASE TABLE",InnoDB
aplikasi,objek,"BASE TABLE",InnoDB
aplikasi,pengaturan_awal_referensi,"BASE TABLE",InnoDB
aplikasi,pengguna,"BASE TABLE",InnoDB
aplikasi,pengguna_akses,"BASE TABLE",InnoDB
aplikasi,pengguna_akses_ruangan,"BASE TABLE",InnoDB
aplikasi,pengguna_log,"BASE TABLE",InnoDB
aplikasi,petunjuk,"BASE TABLE",InnoDB
aplikasi,printer_list,"BASE TABLE",InnoDB
aplikasi,properti_config,"BASE TABLE",InnoDB
aplikasi,signature,"BASE TABLE",InnoDB
aplikasi,sinkronisasi,"BASE TABLE",InnoDB
berkas_klaim,berkas,"BASE TABLE",InnoDB
berkas_klaim,berkas_detil,"BASE TABLE",InnoDB
berkas_klaim,dokumen_pendukung,"BASE TABLE",InnoDB
berkas_klaim,kelengkapan,"BASE TABLE",InnoDB
berkas_klaim,kelengkapan_komentar,"BASE TABLE",InnoDB
berkas_klaim,lab_klinik,"BASE TABLE",InnoDB
berkas_klaim,lab_klinik_detil,"BASE TABLE",InnoDB
berkas_klaim,obat_farmasi,"BASE TABLE",InnoDB
berkas_klaim,obat_farmasi_detil,"BASE TABLE",InnoDB
berkas_klaim,patologi_anatomi,"BASE TABLE",InnoDB
berkas_klaim,patologi_anatomi_detil,"BASE TABLE",InnoDB
berkas_klaim,radiologi,"BASE TABLE",InnoDB
berkas_klaim,radiologi_detil,"BASE TABLE",InnoDB
berkas_klaim,temp_daftar_dokumen,"BASE TABLE",InnoDB
bpjs,dpjp,"BASE TABLE",InnoDB
bpjs,jenis_referensi,"BASE TABLE",InnoDB
bpjs,kamar,"BASE TABLE",InnoDB
bpjs,klaim,"BASE TABLE",InnoDB
bpjs,kunjungan,"BASE TABLE",InnoDB
bpjs,lpk,"BASE TABLE",InnoDB
bpjs,map_kelas,"BASE TABLE",InnoDB
bpjs,monitoring_rencana_kontrol,"BASE TABLE",InnoDB
bpjs,pengajuan,"BASE TABLE",InnoDB
bpjs,peserta,"BASE TABLE",InnoDB
bpjs,poli,"BASE TABLE",InnoDB
bpjs,ppk,"BASE TABLE",InnoDB
bpjs,prb,"BASE TABLE",InnoDB
bpjs,referensi,"BASE TABLE",InnoDB
bpjs,rencana_kontrol,"BASE TABLE",InnoDB
bpjs,rujukan,"BASE TABLE",InnoDB
bpjs,rujukan_khusus,"BASE TABLE",InnoDB
bpjs,rujukan_masuk,"BASE TABLE",InnoDB
bpjs,tempat_tidur,"BASE TABLE",InnoDB
bpjs-smartclaim,composition_id,"BASE TABLE",InnoDB
bpjs-smartclaim,condition_id,"BASE TABLE",InnoDB
bpjs-smartclaim,diagnostic_report_id,"BASE TABLE",InnoDB
bpjs-smartclaim,encounter_id,"BASE TABLE",InnoDB
bpjs-smartclaim,klaim,"BASE TABLE",InnoDB
bpjs-smartclaim,medication_request_id,"BASE TABLE",InnoDB
bpjs-smartclaim,observation_id,"BASE TABLE",InnoDB
bpjs-smartclaim,organization_id,"BASE TABLE",InnoDB
bpjs-smartclaim,patient_id,"BASE TABLE",InnoDB
bpjs-smartclaim,practitioner_id,"BASE TABLE",InnoDB
bpjs-smartclaim,procedure_id,"BASE TABLE",InnoDB
cetakan,karcis_pasien,"BASE TABLE",InnoDB
cetakan,kartu_pasien,"BASE TABLE",InnoDB
cetakan,kwitansi_pembayaran,"BASE TABLE",InnoDB
document-storage,document,"BASE TABLE",InnoDB
document-storage,document_directory,"BASE TABLE",InnoDB
dukcapil,keluarga,"BASE TABLE",InnoDB
dukcapil,penduduk,"BASE TABLE",InnoDB
gambar,photo_pasien,"BASE TABLE",InnoDB
gambar,photo_pegawai,"BASE TABLE",InnoDB
generator,id_bridge_log,"BASE TABLE",MyISAM
generator,id_farmasi,"BASE TABLE",MyISAM
generator,id_hasil_evaluasi_sst,"BASE TABLE",MyISAM
generator,id_hasil_lab,"BASE TABLE",MyISAM
generator,id_karcis,"BASE TABLE",MyISAM
generator,id_kartu,"BASE TABLE",MyISAM
generator,id_keluarga_pasien,"BASE TABLE",MyISAM
generator,id_o2,"BASE TABLE",MyISAM
generator,id_parameter_tindakan_lab,"BASE TABLE",MyISAM
generator,id_pengguna_akses_log,"BASE TABLE",MyISAM
generator,id_retur_farmasi,"BASE TABLE",MyISAM
generator,id_tindakan_medis,"BASE TABLE",MyISAM
generator,id_waktu_pelayanan_kpo,"BASE TABLE",MyISAM
generator,kode_kejadian,"BASE TABLE",MyISAM
generator,no_antrian,"BASE TABLE",MyISAM
generator,no_antrian_ruangan,"BASE TABLE",MyISAM
generator,no_farmasi_kpo,"BASE TABLE",MyISAM
generator,no_formulir_antimikroba_approve,"BASE TABLE",MyISAM
generator,no_iterasi_obat,"BASE TABLE",MyISAM
generator,no_kejadian,"BASE TABLE",MyISAM
generator,no_konsul,"BASE TABLE",MyISAM
generator,no_kontrol,"BASE TABLE",MyISAM
generator,no_kuitansi,"BASE TABLE",InnoDB
generator,no_kunjungan,"BASE TABLE",MyISAM
generator,no_material_request,"BASE TABLE",MyISAM
generator,no_mutasi,"BASE TABLE",MyISAM
generator,no_order_lab,"BASE TABLE",MyISAM
generator,no_order_rad,"BASE TABLE",MyISAM
generator,no_order_resep,"BASE TABLE",MyISAM
generator,no_pembayaran,"BASE TABLE",InnoDB
generator,no_penawaran_harga,"BASE TABLE",InnoDB
generator,no_pendaftaran,"BASE TABLE",MyISAM
generator,no_penerimaan,"BASE TABLE",MyISAM
generator,no_pengiriman,"BASE TABLE",MyISAM
generator,no_permintaan,"BASE TABLE",MyISAM
generator,no_permintaan_darah,"BASE TABLE",MyISAM
generator,no_protokol_pengobatan,"BASE TABLE",MyISAM
generator,no_protokol_pengobatan_detail,"BASE TABLE",MyISAM
generator,no_purchase_order,"BASE TABLE",InnoDB
generator,no_resep_terlayani_kpo,"BASE TABLE",MyISAM
generator,no_rujukan,"BASE TABLE",MyISAM
generator,no_spri,"BASE TABLE",InnoDB
generator,no_surat_kelahiran,"BASE TABLE",InnoDB
generator,no_surat_opname,"BASE TABLE",InnoDB
generator,no_surat_penawaran_harga,"BASE TABLE",InnoDB
generator,no_surat_sakit,"BASE TABLE",InnoDB
generator,no_surat_sehat,"BASE TABLE",InnoDB
generator,no_tagihan,"BASE TABLE",MyISAM
inacbg,dokumen_pendukung,"BASE TABLE",InnoDB
inacbg,grouping,"BASE TABLE",InnoDB
inacbg,hasil_grouping,"BASE TABLE",InnoDB
inacbg,icd_ina_grouper,"BASE TABLE",InnoDB
inacbg,inacbg,"BASE TABLE",InnoDB
