nama_schema,nama_tabel,nama_kolom,nama_relasi,schema_tujuan,tabel_tujuan,kolom_tujuan
inventory,transaksi_stok_ruangan,JENIS,FK_JENIS_TRANSAKSI_STOK_TSR,inventory,jenis_transaksi_stok,ID
medicalrecord,diagnosis,KUNJUNGAN,FK_diagnosis_pendaftaran.kunjungan,pendaftaran,kunjungan,nomor
medicalrecord,fungsional,KUNJUNGAN,fungsional_ibfk_1,pendaftaran,kunjungan,nomor
medicalrecord,permasalahan_gizi,KUNJUNGAN,,pendaftaran,kunjungan,nomor
medicalrecord,permasalahan_gizi,KUNJUNGAN,FK_permasalahan_gizi_pasien_pendaftaran.kunjungan,pendaftaran,kunjungan,nomor
medicalrecord,status_pediatric,KUNJUNGAN,FK__pendaftaran.kunjungan,pendaftaran,kunjungan,nomor
simgos,abci_procedures,doctor_id,abci_procedures_doctor_id_foreign,simgos,doctors,id
simgos,abci_procedures,patient_id,abci_procedures_patient_id_foreign,simgos,patients,id
simgos,abci_procedures,visit_id,abci_procedures_visit_id_foreign,simgos,visits,id
simgos,accident_records,visit_id,accident_records_visit_id_foreign,simgos,visits,id
simgos,admission_diagnoses,visit_id,admission_diagnoses_visit_id_foreign,simgos,visits,id
simgos,admission_medication_reconciliation_items,reconciliation_id,fk_amri_reconciliation_id,simgos,admission_medication_reconciliations,id
simgos,admission_medication_reconciliations,reconciled_by,admission_medication_reconciliations_reconciled_by_foreign,simgos,employees,id
simgos,admission_medication_reconciliations,visit_id,admission_medication_reconciliations_visit_id_foreign,simgos,visits,id
simgos,alergis,kunjungan_id,alergis_kunjungan_id_foreign,simgos,kunjungans,id
simgos,allergies,patient_id,allergies_patient_id_foreign,simgos,patients,id
simgos,allergies,recorded_by,allergies_recorded_by_foreign,simgos,employees,id
simgos,anamneses,recorded_by,anamneses_recorded_by_foreign,simgos,employees,id
simgos,anamneses,visit_id,anamneses_visit_id_foreign,simgos,visits,id
simgos,anamnesis_sources,anamnesis_id,anamnesis_sources_anamnesis_id_foreign,simgos,anamneses,id
simgos,anesthesia_preparations,prepared_by,anesthesia_preparations_prepared_by_foreign,simgos,employees,id
simgos,anesthesia_preparations,visit_id,anesthesia_preparations_visit_id_foreign,simgos,visits,id
simgos,antimicrobial_stewardship_approvals,approved_by,antimicrobial_stewardship_approvals_approved_by_foreign,simgos,employees,id
simgos,antimicrobial_stewardship_approvals,antimicrobial_stewardship_form_id,fk_asa_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antimicrobial_stewardship_form_items,item_id,antimicrobial_stewardship_form_items_item_id_foreign,simgos,items,id
simgos,antimicrobial_stewardship_form_items,antimicrobial_stewardship_form_id,fk_asfi_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antimicrobial_stewardship_forms,patient_id,antimicrobial_stewardship_forms_patient_id_foreign,simgos,patients,id
simgos,antimicrobial_stewardship_forms,requesting_doctor_id,antimicrobial_stewardship_forms_requesting_doctor_id_foreign,simgos,employees,id
simgos,antimicrobial_stewardship_forms,visit_id,antimicrobial_stewardship_forms_visit_id_foreign,simgos,visits,id
simgos,antimicrobial_stewardship_forms,antibiotic_restriction_id,fk_asf_restr_id,simgos,antibiotic_restrictions,id
simgos,antimicrobial_stewardship_general_examinations,antimicrobial_stewardship_form_id,fk_asge_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antimicrobial_stewardship_lab_results,lab_result_id,antimicrobial_stewardship_lab_results_lab_result_id_foreign,simgos,lab_results,id
simgos,antimicrobial_stewardship_lab_results,antimicrobial_stewardship_form_id,fk_aslr_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antimicrobial_stewardship_microbiology_results,antimicrobial_stewardship_form_id,fk_asmr_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antimicrobial_stewardship_other_support_results,antimicrobial_stewardship_form_id,fk_asosr_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antimicrobial_stewardship_prior_histories,antimicrobial_stewardship_form_id,fk_asph_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antimicrobial_stewardship_radiology_results,antimicrobial_stewardship_form_id,fk_asrr_form_id,simgos,antimicrobial_stewardship_forms,id
simgos,antrean_fktp_antrean_waktus,antrean_id,antrean_fktp_antrean_waktus_antrean_id_foreign,simgos,antrean_fktp_antreans,id
simgos,antrean_fktp_antreans,visit_id,antrean_fktp_antreans_visit_id_foreign,simgos,visits,id
simgos,antrean_rs_antrean_waktus,antrean_id,antrean_rs_antrean_waktus_antrean_id_foreign,simgos,antrean_rs_antreans,id
simgos,antrean_rs_antreans,visit_id,antrean_rs_antreans_visit_id_foreign,simgos,visits,id
